district,season,season_start,oor_doy,data_source,oor_date_approx,oor_month,oor_month_name,decade,region
Balaka,1990/91,1990,309.8,synthetic,2000-11-04,11.0,November,1990s,Southern
Balaka,1991/92,1991,316.2,synthetic,2000-11-11,11.0,November,1990s,Southern
Balaka,1992/93,1992,317.9,synthetic,2000-11-12,11.0,November,1990s,Southern
Balaka,1993/94,1993,317.7,synthetic,2000-11-12,11.0,November,1990s,Southern
Balaka,1994/95,1994,331.4,synthetic,2000-11-26,11.0,November,1990s,Southern
Balaka,1995/96,1995,317.5,synthetic,2000-11-12,11.0,November,1990s,Southern
Balaka,1996/97,1996,321.7,synthetic,2000-11-16,11.0,November,1990s,Southern
Balaka,1997/98,1997,332.3,synthetic,2000-11-27,11.0,November,1990s,Southern
Balaka,1998/99,1998,320.5,synthetic,2000-11-15,11.0,November,1990s,Southern
Balaka,1999/00,1999,314.6,synthetic,2000-11-09,11.0,November,1990s,Southern
Balaka,2000/01,2000,314.7,synthetic,2000-11-09,11.0,November,2000s,Southern
Balaka,2001/02,2001,335.3,synthetic,2000-11-30,11.0,November,2000s,Southern
Balaka,2002/03,2002,326.1,synthetic,2000-11-21,11.0,November,2000s,Southern
Balaka,2003/04,2003,330.4,synthetic,2000-11-25,11.0,November,2000s,Southern
Balaka,2004/05,2004,328.6,synthetic,2000-11-23,11.0,November,2000s,Southern
Balaka,2005/06,2005,329.3,synthetic,2000-11-24,11.0,November,2000s,Southern
Balaka,2006/07,2006,318.4,synthetic,2000-11-13,11.0,November,2000s,Southern
Balaka,2007/08,2007,323.2,synthetic,2000-11-18,11.0,November,2000s,Southern
Balaka,2008/09,2008,327.9,synthetic,2000-11-22,11.0,November,2000s,Southern
Balaka,2009/10,2009,,synthetic,,,,2000s,Southern
Balaka,2010/11,2010,327.0,synthetic,2000-11-22,11.0,November,2010s,Southern
Balaka,2011/12,2011,321.0,synthetic,2000-11-16,11.0,November,2010s,Southern
Balaka,2012/13,2012,327.3,synthetic,2000-11-22,11.0,November,2010s,Southern
Balaka,2013/14,2013,324.3,synthetic,2000-11-19,11.0,November,2010s,Southern
Balaka,2014/15,2014,320.0,synthetic,2000-11-15,11.0,November,2010s,Southern
