district,region,n_seasons,mean_oor_doy,sd_oor_doy,first_decade_mean,last_decade_mean,lm_slope,lm_p_value,lm_r2,sens_slope_days_per_year,mk_p_value,mk_tau,total_shift_days,shift_per_decade,significant_mk,significant_lm,trend_direction,mean_oor_date
Balaka,Southern,32,325.8,8,320,330.3,0.493,1e-4,0.391,0.56,4e-4,3.519,19,5.6,TRUE,TRUE,Delayed (later onset),Nov 20
Blantyre,Southern,32,319.2,10.1,313,324.4,0.529,0.0022,0.272,0.552,0.0024,3.033,18.8,5.5,TRUE,TRUE,Delayed (later onset),Nov 14
Chikwawa,Southern,34,322.1,9.4,321,321.4,0.011,0.9472,0,0.083,0.7555,0.311,2.8,0.8,FALSE,FALSE,Delayed (later onset),Nov 17
Chiradzulu,Southern,34,319,7.3,315.5,321.8,0.257,0.0408,0.124,0.238,0.0366,2.09,8.1,2.4,TRUE,TRUE,Delayed (later onset),Nov 14
Chitipa,Northern,33,344.7,8.2,341.5,347.6,0.254,0.0825,0.094,0.354,0.0566,1.906,12,3.5,FALSE,FALSE,Delayed (later onset),Dec 09
Dedza,Central,34,335.2,11.9,327.8,341.4,0.565,0.0048,0.223,0.583,0.0038,2.891,19.8,5.8,TRUE,TRUE,Delayed (later onset),Nov 30
Dowa,Central,33,332.8,8.7,332.5,333.7,0.138,0.3925,0.024,0.116,0.5052,0.666,3.9,1.2,FALSE,FALSE,Delayed (later onset),Nov 27
Karonga,Northern,34,339.2,10.3,333.8,342.4,0.464,0.0076,0.203,0.406,0.0046,2.832,13.8,4.1,TRUE,TRUE,Delayed (later onset),Dec 04
Kasungu,Central,30,337.8,9.6,331.9,345.5,0.618,2e-4,0.405,0.683,5e-4,3.48,23.2,6.8,TRUE,TRUE,Delayed (later onset),Dec 02
Likoma,Northern,33,333.7,9.8,333.3,334.4,0.163,0.354,0.028,0.249,0.2713,1.1,8.5,2.5,FALSE,FALSE,Delayed (later onset),Nov 28
Lilongwe,Central,33,333.2,8.5,330,336.2,0.283,0.0599,0.11,0.36,0.0491,1.968,12.2,3.6,TRUE,FALSE,Delayed (later onset),Nov 28
Machinga,Southern,34,327.3,11.4,316.9,335.9,0.839,0,0.538,0.8,0,4.714,27.2,8,TRUE,TRUE,Delayed (later onset),Nov 22
Mangochi,Southern,32,325.9,9,320.3,331.2,0.456,0.0046,0.238,0.465,0.0075,2.676,15.8,4.7,TRUE,TRUE,Delayed (later onset),Nov 20
Mchinji,Central,33,339.8,9.9,329.7,347,0.745,0,0.551,0.777,0,4.385,26.4,7.8,TRUE,TRUE,Delayed (later onset),Dec 04
Mulanje,Southern,34,316.2,9,313.1,319.4,0.351,0.0225,0.152,0.289,0.0728,1.794,9.8,2.9,FALSE,TRUE,Delayed (later onset),Nov 11
Mwanza,Southern,33,328.3,10.9,316.7,335.7,0.843,0,0.571,0.804,0,4.928,27.3,8,TRUE,TRUE,Delayed (later onset),Nov 23
Mzimba,Northern,32,339.9,8.9,333.2,345.6,0.563,1e-4,0.387,0.557,4e-4,3.522,18.9,5.6,TRUE,TRUE,Delayed (later onset),Dec 04
Neno,Southern,34,326.5,9.1,319.8,330.2,0.427,0.0055,0.217,0.464,0.0038,2.891,15.8,4.6,TRUE,TRUE,Delayed (later onset),Nov 21
Nkhata Bay,Northern,34,336.4,10,330.2,341.3,0.464,0.006,0.213,0.387,0.0133,2.476,13.2,3.9,TRUE,TRUE,Delayed (later onset),Dec 01
Nkhotakota,Central,33,332.9,9.5,326.3,337.9,0.545,4e-4,0.332,0.533,6e-4,3.44,18.1,5.3,TRUE,TRUE,Delayed (later onset),Nov 27
Nsanje,Southern,31,323.8,8.8,318.1,327.2,0.398,0.0095,0.21,0.462,0.0119,2.516,15.7,4.6,TRUE,TRUE,Delayed (later onset),Nov 18
Ntcheu,Central,34,326.3,8.6,322.8,329.6,0.29,0.0534,0.112,0.315,0.0504,1.957,10.7,3.1,FALSE,FALSE,Delayed (later onset),Nov 21
Ntchisi,Central,34,338.1,11.4,330.6,345.2,0.674,3e-4,0.344,0.726,4e-4,3.514,24.7,7.3,TRUE,TRUE,Delayed (later onset),Dec 03
Phalombe,Southern,34,317.1,12,311.5,322.6,0.603,0.0027,0.249,0.692,9e-4,3.321,23.5,6.9,TRUE,TRUE,Delayed (later onset),Nov 12
Rumphi,Northern,31,338.3,6.3,335.5,340.9,0.276,0.0154,0.186,0.377,0.0208,2.312,12.8,3.8,TRUE,TRUE,Delayed (later onset),Dec 03
Salima,Central,32,332.6,9,324.5,337.4,0.561,2e-4,0.38,0.6,5e-4,3.504,20.4,6,TRUE,TRUE,Delayed (later onset),Nov 27
Thyolo,Southern,34,316.1,9.3,312.5,318.9,0.378,0.0171,0.165,0.35,0.0352,2.106,11.9,3.5,TRUE,TRUE,Delayed (later onset),Nov 11
Zomba,Southern,33,321.8,10.7,314.8,327.2,0.568,0.0018,0.274,0.542,0.0038,2.898,18.4,5.4,TRUE,TRUE,Delayed (later onset),Nov 16
